modelo,episodio,score,tempo_s,duracao_s,passos,flipper_ligado,acionamentos_s,tacadas_s,acerto_por_acionamento,ambos
ppo_c9_base,0,475000,136.5,400.9,5345,0.7283,7.703,0.177,0.023,0.1529
ppo_c9_base,1,3039250,392.8,1155.9,15412,0.7392,7.354,0.191,0.026,0.1553
ppo_c9_base,2,3390750,586.4,1736.6,23155,0.7125,7.311,0.174,0.0239,0.1844
ppo_c9_base,3,3568750,528.3,1562.4,20832,0.7396,7.483,0.181,0.0242,0.1595
ppo_c9_base,4,1597000,268.8,783.8,10450,0.7343,7.584,0.17,0.0224,0.1449
ppo_c9_base,5,6712000,802.6,2385.3,31804,0.7421,7.125,0.176,0.0247,0.1576
ppo_c9_base,6,1861500,331.0,970.6,12941,0.7295,7.023,0.144,0.0205,0.1287
ppo_c9_base,7,2433000,357.1,1048.7,13983,0.737,7.547,0.172,0.0227,0.1729
ppo_c9_base,8,2842500,465.6,1374.3,18324,0.7251,7.463,0.165,0.0221,0.1431
ppo_c9_base,9,1772500,350.3,1030.4,13739,0.7173,7.825,0.187,0.0239,0.1361
ppo_c9_prever,0,3832250,538.8,1593.8,21251,0.7238,6.599,0.216,0.0327,0.2103
ppo_c9_prever,1,8226250,932.3,2774.3,36991,0.752,6.483,0.176,0.0272,0.2493
ppo_c9_prever,2,2012500,270.2,790.1,10535,0.7505,6.21,0.168,0.0271,0.229
ppo_c9_prever,3,2982750,410.9,1210.3,16137,0.7764,5.937,0.169,0.0285,0.2513
ppo_c9_prever,4,3718500,448.9,1324.1,17655,0.7953,5.816,0.165,0.0284,0.2195
ppo_c9_prever,5,3130500,358.2,1052.0,14027,0.719,6.358,0.163,0.0256,0.2591
ppo_c9_prever,6,386750,101.6,282.3,3764,0.7094,6.203,0.145,0.0234,0.2747
ppo_c9_prever,7,439500,181.3,521.5,6953,0.6639,6.424,0.169,0.0263,0.2396
ppo_c9_prever,8,1651250,299.3,875.5,11674,0.7154,6.638,0.215,0.0323,0.2403
ppo_c9_prever,9,2567500,433.0,1276.7,17022,0.7453,6.302,0.162,0.0257,0.2573
ppo_c9_i5_prog,0,396000,144.0,409.6,5462,0.8133,7.047,0.161,0.0229,0.3191
ppo_c9_i5_prog,1,139500,91.3,251.4,3352,0.8607,5.915,0.131,0.0222,0.3416
ppo_c9_i5_prog,2,297000,111.2,311.2,4149,0.8272,7.019,0.116,0.0165,0.2692
ppo_c9_i5_prog,3,5380500,470.8,1390.0,18533,0.8191,7.01,0.172,0.0245,0.2987
ppo_c9_i5_prog,4,2531000,487.4,1439.6,19195,0.8029,6.582,0.188,0.0286,0.3269
ppo_c9_i5_prog,5,1906500,317.4,929.6,12395,0.8285,6.868,0.173,0.0252,0.31
ppo_c9_i5_prog,6,194000,81.3,221.5,2953,0.891,5.965,0.104,0.0174,0.2994
ppo_c9_i5_prog,7,1960250,341.3,1001.5,13354,0.7983,6.887,0.204,0.0296,0.3094
ppo_c9_i5_prog,8,510500,185.4,533.9,7118,0.8595,6.285,0.17,0.0271,0.3082
ppo_c9_i5_prog,9,849500,196.7,567.7,7569,0.8351,6.527,0.093,0.0143,0.3146
ppo_c9_i4_pot,0,2104500,376.1,1106.0,14746,0.7051,6.589,0.162,0.0246,0.1761
ppo_c9_i4_pot,1,1948250,334.5,981.1,13081,0.685,6.565,0.168,0.0256,0.193
ppo_c9_i4_pot,2,318750,115.1,322.9,4306,0.686,6.097,0.17,0.0279,0.1774
ppo_c9_i4_pot,3,2387500,388.8,1144.0,15253,0.7005,6.405,0.173,0.027,0.1907
ppo_c9_i4_pot,4,1429500,219.1,634.8,8464,0.6743,6.15,0.202,0.0328,0.1443
ppo_c9_i4_pot,5,5913000,650.2,1928.2,25709,0.7064,6.664,0.172,0.0258,0.1686
ppo_c9_i4_pot,6,2114750,364.5,1071.2,14282,0.6823,6.604,0.189,0.0286,0.1555
ppo_c9_i4_pot,7,340000,133.9,379.4,5058,0.6898,6.211,0.134,0.0216,0.1961
ppo_c9_i4_pot,8,1832250,259.9,757.3,10097,0.7017,6.331,0.199,0.0315,0.2049
ppo_c9_i4_pot,9,1648250,424.3,1250.3,16671,0.7176,6.667,0.146,0.022,0.1392
ppo_c9_i2_nov,0,2829500,446.0,1315.5,17540,0.7397,7.235,0.173,0.024,0.2428
ppo_c9_i2_nov,1,1091250,202.8,586.0,7813,0.7883,6.545,0.22,0.0336,0.2491
ppo_c9_i2_nov,2,594250,143.0,406.6,5421,0.7674,6.879,0.145,0.0211,0.278
