metrica,modelo,mediana_base,mediana,variacao,p
score,prever,2637750,2775125,5.2%,0.9118
score,i5_prog,2637750,680000,-74.2%,0.0524
score,i4_pot,2637750,1890250,-28.3%,0.1655
score,i2_nov,2637750,954875,-63.8%,0.0115
score,i3_bolas,2637750,523250,-80.2%,0.0029
score,i6_longo,2637750,2407000,-8.7%,0.8534
tempo_s,prever,374.95000000000005,384.54999999999995,2.6%,0.7959
tempo_s,i5_prog,374.95000000000005,191.05,-49.0%,0.0355
tempo_s,i4_pot,374.95000000000005,349.5,-6.8%,0.2799
tempo_s,i2_nov,374.95000000000005,190.2,-49.3%,0.0068
tempo_s,i3_bolas,374.95000000000005,148.4,-60.4%,3e-4
tempo_s,i6_longo,374.95000000000005,362.85,-3.2%,0.5787
tacadas_s,prever,0.175,0.1685,-3.7%,0.3069
tacadas_s,i5_prog,0.175,0.1655,-5.4%,0.1402
tacadas_s,i4_pot,0.175,0.17099999999999999,-2.3%,0.6229
tacadas_s,i2_nov,0.175,0.1565,-10.6%,0.1051
tacadas_s,i3_bolas,0.175,0.1275,-27.1%,2e-4
tacadas_s,i6_longo,0.175,0.1725,-1.4%,0.8501
acionamentos_s,prever,7.473,6.33,-15.3%,0
acionamentos_s,i5_prog,7.473,6.725,-10.0%,0
acionamentos_s,i4_pot,7.473,6.485,-13.2%,0
acionamentos_s,i2_nov,7.473,6.756,-9.6%,1e-4
acionamentos_s,i3_bolas,7.473,7.4510000000000005,-0.3%,0.9705
acionamentos_s,i6_longo,7.473,5.849,-21.7%,2e-4
acerto_por_acionamento,prever,0.02345,0.02715,15.8%,0.0013
acerto_por_acionamento,i5_prog,0.02345,0.0237,1.1%,0.8501
acerto_por_acionamento,i4_pot,0.02345,0.0264,12.6%,0.0376
acerto_por_acionamento,i2_nov,0.02345,0.02305,-1.7%,0.6499
acerto_por_acionamento,i3_bolas,0.02345,0.0175,-25.4%,2e-4
acerto_por_acionamento,i6_longo,0.02345,0.0293,24.9%,0.0046
flipper_ligado,prever,0.7319,0.73455,0.4%,0.7394
flipper_ligado,i5_prog,0.7319,0.82785,13.1%,0
flipper_ligado,i4_pot,0.7319,0.6951499999999999,-5.0%,0
flipper_ligado,i2_nov,0.7319,0.7707999999999999,5.3%,0.0011
flipper_ligado,i3_bolas,0.7319,0.8516,16.4%,0
flipper_ligado,i6_longo,0.7319,0.86515,18.2%,0
