fase,score,duracao
antes,139500,95.1583251953125
antes,389750,143.85000610351562
antes,237000,111.74166107177734
antes,1296500,199.4583282470703
antes,233750,129.50833129882812
antes,447750,152.9833221435547
antes,479250,216.91665649414062
antes,1189500,193.25833129882812
antes,1425000,307.5
antes,190750,91.51666259765625
antes,339750,175.9833221435547
antes,404750,159.3249969482422
antes,521500,227.44998168945312
antes,276000,123.34166717529297
antes,254500,147.80833435058594
antes,690500,126.02499389648438
antes,759750,286.95001220703125
antes,404000,131.29165649414062
antes,274500,113.31666564941406
antes,408250,151.9250030517578
antes,272250,121.5333251953125
antes,617500,236.26666259765625
antes,268000,106.02499389648438
antes,163250,92.76666259765625
antes,885250,282.9333190917969
antes,1064750,306.3666687011719
antes,560250,196.97500610351562
antes,883750,237.3333282470703
antes,489000,212.941650390625
antes,292000,122.27499389648438
antes,901250,267.0249938964844
antes,432250,182.8666534423828
antes,316750,175.13333129882812
antes,966000,167.66665649414062
antes,318750,165.8583221435547
antes,243250,110.09166717529297
antes,177250,98.07499694824219
antes,1263500,307.5
antes,163000,91.9749984741211
antes,370750,137.7083282470703
depois,1598250,307.5
depois,1190000,307.5
depois,787250,238.44998168945312
depois,5048750,307.5
depois,1075750,307.5
depois,1492500,307.5
depois,1129750,272.64166259765625
depois,1632500,258.29998779296875
depois,2252000,307.5
depois,557250,228.191650390625
depois,1443000,307.5
depois,1618000,234.30833435058594
depois,541250,178.8000030517578
depois,1082000,211.1583251953125
depois,250250,92.30000305175781
depois,369000,129.88333129882812
depois,2101250,307.5
depois,2423000,307.5
depois,805750,162.566650390625
depois,1202000,202.18333435058594
depois,604500,181.941650390625
depois,425500,124.0583267211914
depois,1753750,266.1000061035156
depois,651500,133.6083221435547
depois,1681750,270.26666259765625
depois,1088500,168.34165954589844
depois,1621250,307.5
depois,1529500,201.4583282470703
depois,871000,259.8999938964844
depois,1901250,307.5
depois,345750,140.43333435058594
depois,594250,192.7833251953125
depois,995500,264.13330078125
depois,1503000,211.92498779296875
depois,2161250,307.5
depois,2170500,307.5
depois,1327500,248.91665649414062
depois,295500,151.22500610351562
depois,1533000,307.5
depois,2083500,307.5
