fase,score,duracao
antes,139500,95.1583251953125
antes,389750,143.85000610351562
antes,237000,111.74166107177734
antes,1296500,199.4583282470703
antes,233750,129.50833129882812
antes,447750,152.9833221435547
antes,479250,216.91665649414062
antes,1189500,193.25833129882812
antes,1425000,307.5
antes,190750,91.51666259765625
antes,339750,175.9833221435547
antes,404750,159.3249969482422
antes,521500,227.44998168945312
antes,276000,123.34166717529297
antes,254500,147.80833435058594
antes,690500,126.02499389648438
antes,759750,286.95001220703125
antes,404000,131.29165649414062
antes,274500,113.31666564941406
antes,408250,151.9250030517578
antes,272250,121.5333251953125
antes,617500,236.26666259765625
antes,268000,106.02499389648438
antes,163250,92.76666259765625
antes,885250,282.9333190917969
antes,1064750,306.3666687011719
antes,560250,196.97500610351562
antes,883750,237.3333282470703
antes,489000,212.941650390625
antes,292000,122.27499389648438
antes,901250,267.0249938964844
antes,432250,182.8666534423828
antes,316750,175.13333129882812
antes,966000,167.66665649414062
antes,318750,165.8583221435547
antes,243250,110.09166717529297
antes,177250,98.07499694824219
antes,1263500,307.5
antes,163000,91.9749984741211
antes,370750,137.7083282470703
depois,1288250,263.1833190917969
depois,1983000,307.5
depois,1577500,304.875
depois,1336500,263.92498779296875
depois,316500,120.61666107177734
depois,522500,178.54165649414062
depois,466250,170.4250030517578
depois,2136500,307.5
depois,895750,124.17499542236328
depois,391000,161.13333129882812
depois,951250,266.375
depois,2369500,307.5
depois,1179750,307.5
depois,1525750,307.5
depois,1765750,307.5
depois,1181000,307.5
depois,361500,156.85000610351562
depois,549250,185.4916534423828
depois,1208750,243.6083221435547
depois,1475250,307.5
depois,615500,213.22499084472656
depois,1264500,307.5
depois,1648000,307.5
depois,401250,158.29165649414062
depois,1402500,208.80833435058594
depois,1445250,307.5
depois,1210250,196.84165954589844
depois,912000,307.5
depois,1797500,289.6666564941406
depois,283750,141.5333251953125
depois,302250,157.816650390625
depois,1351750,307.5
depois,1565000,307.5
depois,1681250,307.5
depois,419500,150.9250030517578
depois,2304750,307.5
depois,845000,307.5
depois,828250,224.34165954589844
depois,483750,154.02499389648438
depois,1093500,222.7749786376953
