fase,score,duracao
antes,139500,95.1583251953125
antes,941250,298.51666259765625
antes,759000,305.3416442871094
antes,855000,307.5
antes,827750,307.5
antes,623750,291.6833190917969
antes,1106000,307.5
antes,489250,182.6750030517578
antes,983250,307.5
antes,709500,307.5
antes,785500,307.5
antes,744500,307.5
antes,800250,307.5
antes,575000,304.4083251953125
antes,483750,255.19998168945312
antes,593750,307.5
antes,663750,307.5
antes,674750,307.5
antes,678000,261.26666259765625
antes,661000,307.5
antes,757500,301.58331298828125
antes,660000,272.04998779296875
antes,2067250,307.5
antes,1086500,307.5
antes,740750,288.50830078125
antes,672250,307.5
antes,847750,307.5
antes,1087750,306.8583068847656
antes,553500,235.71665954589844
antes,929250,307.5
antes,678750,307.5
antes,853750,307.5
antes,856000,307.5
antes,1196000,307.5
antes,683000,292.8666687011719
antes,905500,307.5
antes,1144750,307.5
antes,877750,307.5
antes,703750,307.5
antes,717250,307.5
depois,1047750,307.5
depois,1728250,307.5
depois,1401500,278.8583068847656
depois,1134750,307.5
depois,1471250,307.5
depois,1383000,281.51666259765625
depois,818750,288.6166687011719
depois,750250,307.5
depois,947250,307.5
depois,842750,307.5
depois,1380750,307.5
depois,1040500,307.5
depois,848500,307.5
depois,2146250,307.5
depois,956750,306.8666687011719
depois,1424750,307.5
depois,762500,277.50830078125
depois,857750,307.5
depois,1030750,307.5
depois,949000,307.5
depois,1580000,307.5
depois,887500,307.5
depois,854000,307.5
depois,1422500,303.4916687011719
depois,1039250,307.5
depois,1425000,307.5
depois,660500,307.5
depois,865750,282.75830078125
depois,2079000,307.5
depois,860000,307.5
depois,1703250,306.8666687011719
depois,1529000,307.5
depois,1370000,307.5
depois,1792000,307.5
depois,744250,298.95831298828125
depois,2242500,307.5
depois,926000,307.5
depois,1649500,307.5
depois,1302750,256.83331298828125
depois,1358500,307.5
