fase,score,duracao
antes,139500,95.1583251953125
antes,389750,143.85000610351562
antes,237000,111.74166107177734
antes,1296500,199.4583282470703
antes,233750,129.50833129882812
antes,447750,152.9833221435547
antes,479250,216.91665649414062
antes,1189500,193.25833129882812
antes,1425000,307.5
antes,190750,91.51666259765625
antes,339750,175.9833221435547
antes,404750,159.3249969482422
antes,521500,227.44998168945312
antes,276000,123.34166717529297
antes,254500,147.80833435058594
antes,690500,126.02499389648438
antes,759750,286.95001220703125
antes,404000,131.29165649414062
antes,274500,113.31666564941406
antes,408250,151.9250030517578
antes,272250,121.5333251953125
antes,617500,236.26666259765625
antes,268000,106.02499389648438
antes,163250,92.76666259765625
antes,885250,282.9333190917969
antes,1064750,306.3666687011719
antes,560250,196.97500610351562
antes,883750,237.3333282470703
antes,489000,212.941650390625
antes,292000,122.27499389648438
antes,901250,267.0249938964844
antes,432250,182.8666534423828
antes,316750,175.13333129882812
antes,966000,167.66665649414062
antes,318750,165.8583221435547
antes,243250,110.09166717529297
antes,177250,98.07499694824219
antes,1263500,307.5
antes,163000,91.9749984741211
antes,370750,137.7083282470703
depois,343750,150.00833129882812
depois,1898000,307.5
depois,1703750,307.5
depois,460750,150.01666259765625
depois,1205500,307.5
depois,1712750,293.4916687011719
depois,2621250,307.5
depois,507250,140.85000610351562
depois,2979500,307.5
depois,948250,135.29165649414062
depois,533500,183.55833435058594
depois,1586250,296.25830078125
depois,1175750,234.05833435058594
depois,1992750,272.7749938964844
depois,917000,284.8999938964844
depois,1223500,307.5
depois,2918000,301.0416564941406
depois,856500,248.21665954589844
depois,1775250,292.08331298828125
depois,1439500,217.50833129882812
depois,416500,157.71665954589844
depois,1426500,264.2416687011719
depois,1750250,307.5
depois,2853750,307.5
depois,2144250,307.5
depois,1112750,199.41665649414062
depois,2273500,307.5
depois,593000,185.39166259765625
depois,1798250,307.5
depois,1724750,197.01666259765625
depois,2109500,307.5
depois,444250,158.4499969482422
depois,302000,140.89999389648438
depois,660000,235.6583251953125
depois,402750,155.25833129882812
depois,2732000,307.5
depois,1087000,307.5
depois,272250,132.125
depois,2217500,307.5
depois,1329750,276.1666564941406
