fase,score,duracao
antes,139500,95.1583251953125
antes,389750,143.85000610351562
antes,237000,111.74166107177734
antes,1296500,199.4583282470703
antes,233750,129.50833129882812
antes,447750,152.9833221435547
antes,479250,216.91665649414062
antes,1189500,193.25833129882812
antes,1425000,307.5
antes,190750,91.51666259765625
antes,339750,175.9833221435547
antes,404750,159.3249969482422
antes,521500,227.44998168945312
antes,276000,123.34166717529297
antes,254500,147.80833435058594
antes,690500,126.02499389648438
antes,759750,286.95001220703125
antes,404000,131.29165649414062
antes,274500,113.31666564941406
antes,408250,151.9250030517578
antes,272250,121.5333251953125
antes,617500,236.26666259765625
antes,268000,106.02499389648438
antes,163250,92.76666259765625
antes,885250,282.9333190917969
antes,1064750,306.3666687011719
antes,560250,196.97500610351562
antes,883750,237.3333282470703
antes,489000,212.941650390625
antes,292000,122.27499389648438
antes,901250,267.0249938964844
antes,432250,182.8666534423828
antes,316750,175.13333129882812
antes,966000,167.66665649414062
antes,318750,165.8583221435547
antes,243250,110.09166717529297
antes,177250,98.07499694824219
antes,1263500,307.5
antes,163000,91.9749984741211
antes,370750,137.7083282470703
depois,2938750,268.7749938964844
depois,2484750,307.5
depois,2164750,307.5
depois,1537500,307.5
depois,1399000,307.5
depois,1483250,264.1666564941406
depois,2197750,307.5
depois,3553250,307.5
depois,3080250,307.5
depois,1830250,307.5
depois,482750,184.316650390625
depois,2568750,307.5
depois,1242000,190.34165954589844
depois,1793250,307.5
depois,1634000,273.0249938964844
depois,153000,70.19166564941406
depois,3432500,307.5
depois,2014250,307.5
depois,2064000,307.5
depois,2552000,307.5
depois,1902000,307.5
depois,774750,204.4916534423828
depois,2565750,307.5
depois,514250,172.2333221435547
depois,1653000,307.5
depois,717500,245.566650390625
depois,2854000,307.5
depois,1687500,307.5
depois,2420250,307.5
depois,1772750,307.5
depois,1488500,249.34165954589844
depois,2278500,307.5
depois,2575750,307.5
depois,1151750,184.72500610351562
depois,1879750,307.5
depois,520750,180.25
depois,1318250,296.3999938964844
depois,701500,211.82498168945312
depois,849000,201.97500610351562
depois,2300000,260.7416687011719
