fase,score,duracao
antes,139500,95.1583251953125
antes,389750,143.85000610351562
antes,237000,111.74166107177734
antes,1296500,199.4583282470703
antes,233750,129.50833129882812
antes,447750,152.9833221435547
antes,479250,216.91665649414062
antes,1189500,193.25833129882812
antes,1425000,307.5
antes,190750,91.51666259765625
antes,339750,175.9833221435547
antes,404750,159.3249969482422
antes,521500,227.44998168945312
antes,276000,123.34166717529297
antes,254500,147.80833435058594
antes,690500,126.02499389648438
antes,759750,286.95001220703125
antes,404000,131.29165649414062
antes,274500,113.31666564941406
antes,408250,151.9250030517578
antes,272250,121.5333251953125
antes,617500,236.26666259765625
antes,268000,106.02499389648438
antes,163250,92.76666259765625
antes,885250,282.9333190917969
antes,1064750,306.3666687011719
antes,560250,196.97500610351562
antes,883750,237.3333282470703
antes,489000,212.941650390625
antes,292000,122.27499389648438
antes,901250,267.0249938964844
antes,432250,182.8666534423828
antes,316750,175.13333129882812
antes,966000,167.66665649414062
antes,318750,165.8583221435547
antes,243250,110.09166717529297
antes,177250,98.07499694824219
antes,1263500,307.5
antes,163000,91.9749984741211
antes,370750,137.7083282470703
depois,1332000,307.5
depois,2653000,307.5
depois,2708000,307.5
depois,544250,170.97500610351562
depois,1076500,307.5
depois,1031250,258.8416442871094
depois,2286250,307.5
depois,2345750,307.5
depois,966000,251.64166259765625
depois,2647000,292.9166564941406
depois,1394250,307.5
depois,710750,210.67498779296875
depois,1669750,307.5
depois,966000,253.37498474121094
depois,1665500,280.566650390625
depois,961750,305.00830078125
depois,2198000,306.8666687011719
depois,1852250,269.58331298828125
depois,1445250,307.5
depois,655000,142.1999969482422
depois,1481250,267.32501220703125
depois,647000,210.84165954589844
depois,1069250,179.4250030517578
depois,1134250,307.5
depois,1767250,307.5
depois,492750,157.59165954589844
depois,1142000,265.14166259765625
depois,2082750,307.5
depois,2019500,306.8666687011719
depois,634000,162.3000030517578
depois,2527750,307.5
depois,2897250,307.5
depois,2420500,307.5
depois,772500,206.63333129882812
depois,1470000,307.5
depois,1624250,264.3416442871094
depois,2424750,307.5
depois,2061500,307.5
depois,3060500,307.5
depois,586250,201.9499969482422
