fase,score,duracao
antes,139500,95.1583251953125
antes,389750,143.85000610351562
antes,237000,111.74166107177734
antes,1296500,199.4583282470703
antes,233750,129.50833129882812
antes,447750,152.9833221435547
antes,479250,216.91665649414062
antes,1189500,193.25833129882812
antes,1425000,307.5
antes,190750,91.51666259765625
antes,339750,175.9833221435547
antes,404750,159.3249969482422
antes,521500,227.44998168945312
antes,276000,123.34166717529297
antes,254500,147.80833435058594
antes,690500,126.02499389648438
antes,759750,286.95001220703125
antes,404000,131.29165649414062
antes,274500,113.31666564941406
antes,408250,151.9250030517578
antes,272250,121.5333251953125
antes,617500,236.26666259765625
antes,268000,106.02499389648438
antes,163250,92.76666259765625
antes,885250,282.9333190917969
antes,1064750,306.3666687011719
antes,560250,196.97500610351562
antes,883750,237.3333282470703
antes,489000,212.941650390625
antes,292000,122.27499389648438
antes,901250,267.0249938964844
antes,432250,182.8666534423828
antes,316750,175.13333129882812
antes,966000,167.66665649414062
antes,318750,165.8583221435547
antes,243250,110.09166717529297
antes,177250,98.07499694824219
antes,1263500,307.5
antes,163000,91.9749984741211
antes,370750,137.7083282470703
depois,1508750,307.5
depois,1569750,307.5
depois,1990750,264.066650390625
depois,782500,272.4083251953125
depois,637750,178.625
depois,2244250,307.5
depois,2183000,307.5
depois,459250,115.01666259765625
depois,1476250,307.5
depois,890250,265.63330078125
depois,524250,154.0500030517578
depois,894250,231.09999084472656
depois,885500,243.97499084472656
depois,1061500,307.5
depois,453750,132.2833251953125
depois,1858250,307.5
depois,885000,224.25833129882812
depois,745000,211.16665649414062
depois,1243250,307.5
depois,919500,266.3583068847656
depois,1452250,307.5
depois,2436750,307.5
depois,2122500,203.6750030517578
depois,1486250,307.5
depois,288000,126.6583251953125
depois,1721000,307.5
depois,1883750,300.92498779296875
depois,1104000,268.625
depois,2403000,307.5
depois,714000,190.00833129882812
depois,1939750,307.5
depois,595750,166.0749969482422
depois,2601250,307.5
depois,318000,129.8583221435547
depois,2155750,307.5
depois,1746500,227.16665649414062
depois,1237750,251.4833221435547
depois,1096500,195.6166534423828
depois,973000,238.21665954589844
depois,1898250,307.5
