fase,score,duracao
antes,139500,95.1583251953125
antes,389750,143.85000610351562
antes,237000,111.74166107177734
antes,1296500,199.4583282470703
antes,233750,129.50833129882812
antes,447750,152.9833221435547
antes,479250,216.91665649414062
antes,1189500,193.25833129882812
antes,1425000,307.5
antes,190750,91.51666259765625
antes,339750,175.9833221435547
antes,404750,159.3249969482422
antes,521500,227.44998168945312
antes,276000,123.34166717529297
antes,254500,147.80833435058594
antes,690500,126.02499389648438
antes,759750,286.95001220703125
antes,404000,131.29165649414062
antes,274500,113.31666564941406
antes,408250,151.9250030517578
antes,272250,121.5333251953125
antes,617500,236.26666259765625
antes,268000,106.02499389648438
antes,163250,92.76666259765625
antes,885250,282.9333190917969
antes,1064750,306.3666687011719
antes,560250,196.97500610351562
antes,883750,237.3333282470703
antes,489000,212.941650390625
antes,292000,122.27499389648438
antes,901250,267.0249938964844
antes,432250,182.8666534423828
antes,316750,175.13333129882812
antes,966000,167.66665649414062
antes,318750,165.8583221435547
antes,243250,110.09166717529297
antes,177250,98.07499694824219
antes,1263500,307.5
antes,163000,91.9749984741211
antes,370750,137.7083282470703
depois,239750,103.1833267211914
depois,985000,278.8666687011719
depois,1802000,307.5
depois,1064000,235.8583221435547
depois,2775000,307.5
depois,2744250,307.5
depois,1007000,275.4333190917969
depois,1271000,307.5
depois,1257750,302.2749938964844
depois,1148500,307.5
depois,2875250,307.5
depois,2688750,307.5
depois,1033750,210.69998168945312
depois,2040250,307.5
depois,312250,112.20832824707031
depois,2691000,307.5
depois,1089500,270.4083251953125
depois,543500,146.316650390625
depois,321250,127.29166412353516
depois,2162500,307.5
depois,1285500,307.5
depois,1653250,307.5
depois,1064500,307.5
depois,1808250,307.5
depois,958000,307.5
depois,712750,224.57498168945312
depois,2182750,307.5
depois,820750,259.7916564941406
depois,1471500,249.97499084472656
depois,2032000,307.5
depois,1632750,307.5
depois,1024500,307.5
depois,1927250,304.76666259765625
depois,467500,173.7833251953125
depois,1496250,307.5
depois,1088750,162.2333221435547
depois,1120500,307.5
depois,4878250,307.5
depois,643750,205.24998474121094
depois,915000,307.5
