fase,score,duracao
antes,139500,95.1583251953125
antes,389750,143.85000610351562
antes,237000,111.74166107177734
antes,1296500,199.4583282470703
antes,233750,129.50833129882812
antes,447750,152.9833221435547
antes,479250,216.91665649414062
antes,1189500,193.25833129882812
antes,1425000,307.5
antes,190750,91.51666259765625
antes,339750,175.9833221435547
antes,404750,159.3249969482422
antes,521500,227.44998168945312
antes,276000,123.34166717529297
antes,254500,147.80833435058594
antes,690500,126.02499389648438
antes,759750,286.95001220703125
antes,404000,131.29165649414062
antes,274500,113.31666564941406
antes,408250,151.9250030517578
antes,272250,121.5333251953125
antes,617500,236.26666259765625
antes,268000,106.02499389648438
antes,163250,92.76666259765625
antes,885250,282.9333190917969
antes,1064750,306.3666687011719
antes,560250,196.97500610351562
antes,883750,237.3333282470703
antes,489000,212.941650390625
antes,292000,122.27499389648438
antes,901250,267.0249938964844
antes,432250,182.8666534423828
antes,316750,175.13333129882812
antes,966000,167.66665649414062
antes,318750,165.8583221435547
antes,243250,110.09166717529297
antes,177250,98.07499694824219
antes,1263500,307.5
antes,163000,91.9749984741211
antes,370750,137.7083282470703
depois,1070000,307.5
depois,1685750,307.5
depois,2364750,307.5
depois,1156250,307.5
depois,786000,251.0249786376953
depois,631250,205.01666259765625
depois,2320500,260.1666564941406
depois,1319750,307.5
depois,1764750,307.5
depois,1224000,307.5
depois,2174750,307.5
depois,2430250,307.5
depois,754500,285.57501220703125
depois,2425500,307.5
depois,1772250,307.5
depois,1063000,246.34165954589844
depois,1532750,247.07498168945312
depois,1805750,307.5
depois,2006750,307.5
depois,2358000,307.5
depois,1404750,306.8500061035156
depois,2143000,307.5
depois,1518000,307.5
depois,1911250,307.5
depois,1968250,307.5
depois,1413750,307.5
depois,1295000,238.97499084472656
depois,548000,228.88333129882812
depois,845000,307.5
depois,2536500,307.5
depois,2777500,307.5
depois,1328500,307.5
depois,1938500,307.5
depois,1368750,307.5
depois,1717000,307.5
depois,576000,194.77499389648438
depois,3224250,307.5
depois,2573250,307.5
depois,3289000,306.8500061035156
depois,1945750,307.5
