fase,score,duracao
antes,139500,95.1583251953125
antes,389750,143.85000610351562
antes,237000,111.74166107177734
antes,1296500,199.4583282470703
antes,233750,129.50833129882812
antes,447750,152.9833221435547
antes,479250,216.91665649414062
antes,1189500,193.25833129882812
antes,1425000,307.5
antes,190750,91.51666259765625
antes,339750,175.9833221435547
antes,404750,159.3249969482422
antes,521500,227.44998168945312
antes,276000,123.34166717529297
antes,254500,147.80833435058594
antes,690500,126.02499389648438
antes,759750,286.95001220703125
antes,404000,131.29165649414062
antes,274500,113.31666564941406
antes,408250,151.9250030517578
antes,272250,121.5333251953125
antes,617500,236.26666259765625
antes,268000,106.02499389648438
antes,163250,92.76666259765625
antes,885250,282.9333190917969
antes,1064750,306.3666687011719
antes,560250,196.97500610351562
antes,883750,237.3333282470703
antes,489000,212.941650390625
antes,292000,122.27499389648438
antes,901250,267.0249938964844
antes,432250,182.8666534423828
antes,316750,175.13333129882812
antes,966000,167.66665649414062
antes,318750,165.8583221435547
antes,243250,110.09166717529297
antes,177250,98.07499694824219
antes,1263500,307.5
antes,163000,91.9749984741211
antes,370750,137.7083282470703
depois,123250,307.5
depois,75000,307.5
depois,4750,307.5
depois,14500,307.5
depois,80000,307.5
depois,26000,307.5
depois,29500,306.8583068847656
depois,27750,307.5
depois,21000,307.5
depois,123750,307.5
depois,98750,307.5
depois,91000,307.5
depois,110750,307.5
depois,30500,307.5
depois,92000,307.5
depois,17000,307.5
depois,18000,307.5
depois,101500,307.5
depois,460750,307.5
depois,14500,307.5
depois,308000,307.5
depois,3000,307.5
depois,20750,307.5
depois,38500,307.5
depois,96500,307.5
depois,56250,307.5
depois,24750,307.5
depois,100250,307.5
depois,111750,307.5
depois,311250,307.5
depois,31000,307.5
depois,138250,307.5
depois,23000,307.5
depois,37000,307.5
depois,82750,307.5
depois,5250,307.5
depois,87500,307.5
depois,77000,307.5
depois,125250,307.5
depois,262000,307.5
