fase,score,duracao
antes,139500,95.1583251953125
antes,389750,143.85000610351562
antes,237000,111.74166107177734
antes,1296500,199.4583282470703
antes,233750,129.50833129882812
antes,447750,152.9833221435547
antes,479250,216.91665649414062
antes,1189500,193.25833129882812
antes,1425000,307.5
antes,190750,91.51666259765625
antes,339750,175.9833221435547
antes,404750,159.3249969482422
antes,521500,227.44998168945312
antes,276000,123.34166717529297
antes,254500,147.80833435058594
antes,690500,126.02499389648438
antes,759750,286.95001220703125
antes,404000,131.29165649414062
antes,274500,113.31666564941406
antes,408250,151.9250030517578
antes,272250,121.5333251953125
antes,617500,236.26666259765625
antes,268000,106.02499389648438
antes,163250,92.76666259765625
antes,885250,282.9333190917969
antes,1064750,306.3666687011719
antes,560250,196.97500610351562
antes,883750,237.3333282470703
antes,489000,212.941650390625
antes,292000,122.27499389648438
antes,901250,267.0249938964844
antes,432250,182.8666534423828
antes,316750,175.13333129882812
antes,966000,167.66665649414062
antes,318750,165.8583221435547
antes,243250,110.09166717529297
antes,177250,98.07499694824219
antes,1263500,307.5
antes,163000,91.9749984741211
antes,370750,137.7083282470703
depois,178000,74.11666107177734
depois,136500,69.69166564941406
depois,164250,103.31666564941406
depois,133500,66.17500305175781
depois,264250,161.89999389648438
depois,103750,74.81666564941406
depois,125750,85.6500015258789
depois,190000,83.74166107177734
depois,184250,83.2750015258789
depois,135500,124.79999542236328
depois,237750,119.89999389648438
depois,179000,84.09166717529297
depois,148750,96.1833267211914
depois,111750,63.0916633605957
depois,120750,65.14999389648438
depois,139000,100.9749984741211
depois,101000,59.39999771118164
depois,92000,59.24166488647461
depois,210000,85.83332824707031
depois,166750,74.21666717529297
depois,240250,93.49166107177734
depois,103000,63.733333587646484
depois,155500,91.5
depois,124750,115.98332977294922
depois,201500,145.16665649414062
depois,197500,137.2416534423828
depois,122750,105.75833129882812
depois,193250,116.49999237060547
depois,162500,180.4833221435547
depois,200750,117.84166717529297
depois,104500,101.6583251953125
depois,176500,111.86666107177734
depois,144750,151.941650390625
depois,118750,112.49166107177734
depois,115000,72.3499984741211
depois,171250,138.1083221435547
depois,265250,162.63333129882812
depois,196000,145.51666259765625
depois,157750,80.74166107177734
depois,268750,109.0583267211914
