episodio,score,passos,segundos_jogo,bolas_usadas
0,324500,16526,137.72,3
1,254000,14568,121.40,3
2,403500,17294,144.12,3
3,1256000,27855,232.12,3
4,407500,18328,152.73,3
5,229500,15401,128.34,3
6,787250,17660,147.17,3
7,254250,14067,117.22,3
8,300250,14983,124.86,3
9,785000,29265,243.87,3
10,176000,12315,102.62,3
11,358750,20697,172.48,3
12,772250,30763,256.36,3
13,838500,26607,221.72,3
14,548250,30863,257.19,3
15,216750,9577,79.81,3
16,392750,21030,175.25,3
17,381500,14583,121.52,3
18,294000,15886,132.38,3
19,449250,16733,139.44,3
20,197750,10602,88.35,3
21,498750,22625,188.54,3
22,883750,25222,210.18,3
23,156750,11436,95.30,3
24,274250,17248,143.73,3
25,297000,16216,135.13,3
26,294750,17788,148.23,3
27,339500,18268,152.23,3
28,1126750,28668,238.90,3
29,1278000,24163,201.36,3
30,1200250,38820,323.50,3
31,732750,26737,222.81,3
32,385750,12991,108.26,3
33,268250,17414,145.12,3
34,408250,19087,159.06,3
35,344250,17801,148.34,3
36,384250,15820,131.83,3
37,139000,10019,83.49,3
38,321000,13222,110.18,3
39,681750,27483,229.02,3
40,129750,9802,81.68,3
41,416750,19708,164.23,3
42,489500,16952,141.27,3
43,587500,30628,255.23,3
44,341750,22489,187.41,3
45,591250,26667,222.22,3
46,371750,19365,161.38,3
47,244500,14140,117.83,3
48,543750,20515,170.96,3
49,609000,30613,255.11,3
50,611500,25381,211.51,3
51,296750,13859,115.49,3
52,718500,22426,186.88,3
53,293750,16675,138.96,3
54,747000,29534,246.12,3
55,283500,15137,126.14,3
56,442250,12866,107.22,3
57,251500,14064,117.20,3
58,632750,21103,175.86,3
59,652000,20641,172.01,3
60,402250,18281,152.34,3
61,976250,20876,173.97,3
62,762000,34586,288.22,3
63,645250,21093,175.77,3
64,871750,24326,202.72,3
65,534250,25745,214.54,3
66,300000,13639,113.66,3
67,1387000,26187,218.22,3
68,1235000,32332,269.43,3
69,593000,23911,199.26,3
70,1177000,42178,351.48,3
71,345750,17441,145.34,3
72,412500,23021,191.84,3
73,831000,30565,254.71,3
74,1065250,19321,161.01,3
75,419500,20103,167.52,3
76,373750,18538,154.48,3
77,303500,12477,103.97,3
78,125250,9926,82.72,3
79,305500,11559,96.32,3
80,443000,19893,165.77,3
81,348750,22237,185.31,3
82,371000,17537,146.14,3
83,558750,23950,199.58,3
84,1247750,32943,274.52,3
85,171500,13432,111.93,3
86,575250,18469,153.91,3
87,156000,10372,86.43,3
88,580250,28883,240.69,3
89,520750,14725,122.71,3
90,637250,32625,271.88,3
91,258000,15389,128.24,3
92,341500,12091,100.76,3
93,146750,12067,100.56,3
94,287000,12922,107.68,3
95,379250,18740,156.17,3
96,174750,12810,106.75,3
97,284750,17095,142.46,3
98,319500,17582,146.52,3
99,535000,20222,168.52,3
100,312000,21000,175.00,3
