episodio,score,passos,segundos_jogo
0,224250,16674,141.8000030517578
1,214000,14424,127.66666412353516
2,384750,15252,134.5833282470703
3,173500,10278,93.11666107177734
4,1098000,17202,150.8333282470703
5,251750,10890,98.25
6,224500,12978,115.62499237060547
7,191750,11736,105.25833129882812
8,485250,19818,172.6166534423828
9,430500,13350,118.73332977294922
10,270000,14430,127.74166107177734
11,387750,16788,147.38333129882812
12,1539000,30756,263.7749938964844
13,173750,12432,111.0583267211914
14,241500,15066,132.39999389648438
15,185000,9690,88.20832824707031
16,508750,23778,205.63333129882812
17,250250,13110,116.73332977294922
18,580500,26088,224.8583221435547
19,394750,19308,168.38333129882812
20,811000,15510,136.72500610351562
21,825250,29502,253.32498168945312
22,329500,19266,168.04165649414062
23,99500,7884,73.16666412353516
24,214250,10338,93.60832977294922
25,196000,15672,138.09165954589844
26,183750,9936,90.30000305175781
27,364750,15774,138.9250030517578
28,548500,34764,297.1583251953125
29,355750,17160,150.4916534423828
30,235000,12252,109.58332824707031
31,357750,20544,178.68333435058594
32,509500,15978,140.6083221435547
33,194500,8340,76.95832824707031
34,244500,15042,132.84165954589844
35,618000,24198,209.12498474121094
36,464000,16284,143.1750030517578
37,820000,20112,175.09165954589844
38,143000,10698,96.64166259765625
39,481750,20916,181.7833251953125
40,494750,17250,151.2333221435547
41,199750,12348,110.37499237060547
42,239250,11592,104.08332824707031
43,92250,7032,66.0583267211914
44,236500,13692,121.58332824707031
45,813250,32388,277.3666687011719
46,145500,9186,84.0333251953125
47,327250,11082,99.83332824707031
48,534000,18384,160.66665649414062
49,272500,14766,130.52499389648438
50,732500,25134,216.941650390625
51,497750,24084,208.191650390625
52,278250,12804,114.17499542236328
53,412750,22902,198.316650390625
54,220500,11292,101.5583267211914
55,397250,19242,167.84165954589844
56,468000,18414,160.93333435058594
57,182000,11460,102.98332977294922
58,450250,20946,182.02499389648438
59,417000,19560,170.4583282470703
60,993500,22536,195.25833129882812
61,219750,11568,103.86666107177734
62,194750,13098,116.62499237060547
63,121750,7056,66.2750015258789
64,724250,21756,188.76666259765625
65,596000,26610,229.2083282470703
66,1304250,39366,335.50830078125
67,608750,18276,159.7833251953125
68,354750,15384,135.6999969482422
69,1730250,27462,236.32498168945312
70,263000,10092,91.5583267211914
71,96750,7098,66.6500015258789
72,134750,8274,76.42500305175781
73,190750,9756,88.79166412353516
74,538500,22596,195.76666259765625
75,418000,14952,132.09165954589844
76,250250,11454,102.9083251953125
77,1319250,39294,334.9083251953125
78,487500,18906,165.02499389648438
79,943250,23670,204.75
80,418250,16002,140.816650390625
81,1711500,27642,237.191650390625
82,891750,17226,151.0500030517578
83,471250,18486,161.52499389648438
84,462500,13290,118.22499084472656
85,1335750,38928,331.875
86,923000,34308,293.375
87,209500,12468,111.35832977294922
88,391500,21150,183.7333221435547
89,361250,15186,134.04165649414062
90,1132250,19620,171.0
91,247750,14568,128.88333129882812
92,201250,12114,108.42499542236328
93,172500,9690,88.24166107177734
94,302500,12180,108.95832824707031
95,136250,6786,64.02499389648438
96,898750,26652,229.59999084472656
97,449750,20274,176.441650390625
98,547250,22500,194.9583282470703
99,301250,12522,111.84999084472656
100,407250,22902,198.30833435058594
101,270250,12840,114.47499084472656
102,608750,21966,190.51666259765625
103,980250,27066,233.0333251953125
104,737500,21918,190.125
105,232250,12564,112.1833267211914
106,272500,12402,110.83332824707031
107,262250,15546,137.02499389648438
108,711750,27684,238.1583251953125
109,479000,23622,204.3249969482422
110,691000,20136,175.25833129882812
111,184250,11220,100.98332977294922
112,149750,9648,87.85832977294922
113,620500,30204,259.1666564941406
114,372000,17802,155.84165954589844
115,249000,12750,113.09999084472656
116,250750,11892,106.58332824707031
117,1097750,26538,228.64166259765625
118,206250,11304,101.6583251953125
119,249750,13986,124.01666259765625
120,318000,14364,127.1583251953125
121,389500,16482,144.85000610351562
122,418750,29226,251.00833129882812
123,532500,20832,181.10000610351562
124,406000,21588,187.3583221435547
125,427500,13974,123.94998931884766
126,571750,17058,149.64166259765625
127,524750,24348,210.37498474121094
128,366500,15612,137.60000610351562
129,195000,10248,92.89166259765625
130,1758250,32202,275.8500061035156
131,246000,14442,127.84999084472656
132,449250,20310,176.7083282470703
133,566500,17016,149.3000030517578
134,457500,19050,166.25
135,382750,13278,118.10832977294922
136,521000,23334,201.91665649414062
137,267250,17742,155.3249969482422
138,226500,13644,121.17499542236328
139,608000,15690,138.2416534423828
140,380000,15156,133.79165649414062
141,275000,15258,134.6166534423828
142,597000,19758,172.1166534423828
143,1088000,22896,198.25833129882812
144,134250,8472,78.0583267211914
145,446000,14742,130.30833435058594
146,530500,23118,200.1083221435547
147,709000,25758,222.1083221435547
148,508750,18066,158.01666259765625
149,488750,19074,166.441650390625
