agente,ep,score,duracao,rank,progresso,alvos,missoes,bolas_sobrando,vel_mediana,pct_parada,pct_topo,pct_ambos,pct_nada
Aleatorio,0,1078500,202.89166259765625,1,6,8,1,2,8.189980387687683,7.8125,16.475,24.575,24.5625
Aleatorio,1,584750,207.49998474121094,1,0,6,0,2,8.439982235431671,9.525,26.237500000000004,24.875,25.35
Aleatorio,2,510500,176.566650390625,3,4,8,0,0,9.571727514266968,11.252402779831435,23.894721277539553,26.009167529203015,24.914978559810734
Aleatorio,3,105250,71.54166412353516,3,7,1,0,0,6.910940110683441,19.47697111631538,36.02654176424668,24.473067915690866,25.604996096799375
Aleatorio,4,462750,194.6999969482422,1,4,6,0,0,8.853227496147156,13.60844017094017,20.592948717948715,25.093482905982906,25.48076923076923
Aleatorio,5,613000,207.49998474121094,1,0,7,0,1,8.146114349365234,14.000000000000002,16.0625,25.5875,24.275
Aleatorio,6,533750,207.49998474121094,1,0,5,0,1,8.473304808139801,11.1125,25.887500000000003,24.425,25.225
Aleatorio,7,233000,113.45832824707031,3,4,5,0,0,6.570066213607788,16.82000471809389,14.08351026185421,23.80278367539514,24.180231186600615
Aleatorio,8,585500,207.49998474121094,1,0,9,0,1,9.976158440113068,11.225,29.762499999999996,24.7125,24.8
Aleatorio,9,183500,93.50833129882812,4,4,0,0,0,8.572783470153809,16.070909619296717,22.493461203138622,24.266201685556524,26.329555361813426
Aleatorio,10,169000,134.441650390625,3,3,2,0,0,7.911597788333893,20.204805041354863,29.165025600630166,24.53721937770776,25.14769594328476
Aleatorio,11,407250,207.49998474121094,1,0,12,0,1,9.278391301631927,8.674999999999999,19.0,25.4625,24.625
4. 25ms + flippers,0,231250,101.81666564941406,2,9,1,0,0,7.812914848327637,13.411078717201166,31.513384574609066,46.170156374238005,31.963954412934005
4. 25ms + flippers,1,153250,100.75833129882812,2,6,4,0,0,8.05245041847229,17.099973197534172,25.78397212543554,44.46529080675422,37.38943982846422
4. 25ms + flippers,2,202500,109.34999084472656,5,5,4,0,0,8.466190099716187,15.61119293078056,36.22974963181149,44.77172312223858,38.73343151693667
4. 25ms + flippers,3,142750,75.55000305175781,3,10,3,0,0,8.260180950164795,11.866274797942689,28.545187362233655,39.45628214548126,45.07714915503306
4. 25ms + flippers,4,341750,120.99166107177734,1,7,6,0,0,9.543716311454773,9.581497797356828,33.259911894273124,52.48898678414097,33.92070484581498
4. 25ms + flippers,5,249250,107.32498931884766,3,9,7,0,0,9.958299398422241,9.566741798146756,17.28024042073629,40.696218382168794,42.95016278487353
4. 25ms + flippers,6,223250,120.44166564941406,3,4,2,0,0,8.497040867805481,15.470950704225354,27.13468309859155,39.23855633802817,44.63028169014085
4. 25ms + flippers,7,219500,80.9083251953125,3,5,2,0,0,7.8033530712127686,15.18556350017024,25.944841675178754,38.61082737487232,43.61593462717058
4. 25ms + flippers,8,193750,106.56666564941406,2,4,10,0,0,9.21335518360138,11.481201110269998,19.454958364875093,36.235175372192785,43.65379762805955
4. 25ms + flippers,9,209000,91.35832977294922,3,4,8,0,0,8.042227029800415,13.383010432190758,24.023845007451563,41.81818181818182,38.926974664679584
4. 25ms + flippers,10,382250,135.625,1,3,2,0,0,7.836887836456299,14.126829268292681,27.29756097560976,47.00487804878049,38.321951219512194
4. 25ms + flippers,11,210250,75.73332977294922,3,9,2,0,0,8.257195055484772,17.47252747252747,29.120879120879124,40.43956043956044,40.91575091575091
5. VISAO DA MESA,0,957250,207.49998474121094,1,0,9,0,1,8.813256025314331,11.9375,20.75,12.125,31.325
5. VISAO DA MESA,1,697500,207.49998474121094,1,0,3,0,1,9.764841198921204,8.2125,33.1875,16.5875,35.0375
5. VISAO DA MESA,2,1405250,207.49998474121094,1,6,9,1,1,11.922659873962402,8.2875,20.200000000000003,15.325,32.125
5. VISAO DA MESA,3,2116000,206.8583221435547,1,6,7,1,2,10.464774370193481,5.6875,20.6375,19.5,32.3875
5. VISAO DA MESA,4,502250,136.0500030517578,3,3,4,0,0,10.894021987915039,8.693115519253208,21.139634383508362,12.290937378451964,31.544146246596654
5. VISAO DA MESA,5,1162500,207.49998474121094,1,6,11,1,2,10.284895896911621,7.9125,20.525,15.85,29.5375
5. VISAO DA MESA,6,513250,207.49998474121094,1,0,9,0,1,11.327292919158936,7.8,22.7125,6.6,34.05
5. VISAO DA MESA,7,715000,207.49998474121094,1,0,4,0,1,10.117314457893372,6.075,29.099999999999998,12.5625,33.4
5. VISAO DA MESA,8,1517500,207.49998474121094,1,6,6,1,1,10.895020961761475,6.9750000000000005,25.7375,12.6625,27.35
5. VISAO DA MESA,9,1596750,207.49998474121094,1,6,10,1,2,11.611453294754028,6.7875000000000005,28.1375,15.85,33.8375
5. VISAO DA MESA,10,1173500,207.49998474121094,1,6,6,1,2,10.77929675579071,6.1,17.625,16.075,30.9625
5. VISAO DA MESA,11,1681750,207.49998474121094,1,6,6,1,1,9.513791799545288,8.225,29.2,16.0875,31.3125
6. sobrevivencia pura,0,157250,207.49998474121094,1,0,1,0,3,0.1783987693488598,67.65,4.2,76.7375,19.075
6. sobrevivencia pura,1,181500,207.49998474121094,1,0,2,0,2,0.17795054242014885,66.225,11.2125,51.15,17.875
6. sobrevivencia pura,2,88000,207.49998474121094,1,0,6,0,3,0.16660308465361595,80.27499999999999,4.5249999999999995,83.3,14.5625
6. sobrevivencia pura,3,83000,207.49998474121094,1,0,1,0,3,0.16650065779685974,84.82499999999999,6.7625,85.3125,12.3125
6. sobrevivencia pura,4,13750,207.49998474121094,1,0,1,0,3,0.13570046052336693,94.675,2.6374999999999997,95.45,4.1375
6. sobrevivencia pura,5,26250,207.49998474121094,1,0,0,0,3,0.1357124000787735,93.125,3.5000000000000004,93.3625,6.5375
6. sobrevivencia pura,6,15750,207.49998474121094,1,0,0,0,3,0.13575324323028326,90.60000000000001,3.9125,91.625,7.875
6. sobrevivencia pura,7,60000,207.49998474121094,1,0,1,0,3,0.13284750282764435,84.7,3.4625000000000004,86.175,12.625
6. sobrevivencia pura,8,17000,207.49998474121094,1,0,0,0,3,0.13569362461566925,95.525,3.2,70.0875,4.1625
6. sobrevivencia pura,9,8500,207.49998474121094,1,0,1,0,3,0.1279781386256218,95.575,3.025,96.2375,3.6875
