modelo,passos,tipo,ep,score,duracao,alvos,missoes,vel,parada,topo
aleatorio,0,baseline,0,1482250,0,0,0,0.0,0.0,0.0
aleatorio,0,baseline,1,651500,0,0,0,0.0,0.0,0.0
aleatorio,0,baseline,2,557250,0,0,0,0.0,0.0,0.0
aleatorio,0,baseline,3,723250,0,0,0,0.0,0.0,0.0
aleatorio,0,baseline,4,131500,0,0,0,0.0,0.0,0.0
aleatorio,0,baseline,5,619750,0,0,0,0.0,0.0,0.0
aleatorio,0,baseline,6,533500,0,0,0,0.0,0.0,0.0
aleatorio,0,baseline,7,1406500,0,0,0,0.0,0.0,0.0
aleatorio,0,baseline,8,460000,0,0,0,0.0,0.0,0.0
aleatorio,0,baseline,9,248250,0,0,0,0.0,0.0,0.0
aleatorio,0,baseline,10,214000,0,0,0,0.0,0.0,0.0
aleatorio,0,baseline,11,383000,0,0,0,0.0,0.0,0.0
ppo_visao_v1,2500000,referencia (treino anterior),0,2581250,307.5,12,1,10.265033841133118,5.775,26.525
ppo_visao_v1,2500000,referencia (treino anterior),1,1530500,307.5,16,0,9.592835307121277,7.825,21.158333333333335
ppo_visao_v1,2500000,referencia (treino anterior),2,2030000,307.5,9,1,10.009400844573975,7.591666666666666,30.599999999999998
ppo_visao_v1,2500000,referencia (treino anterior),3,1175250,238.54165649414062,6,0,10.740151405334473,9.413546851330882,29.45249945899156
ppo_visao_v1,2500000,referencia (treino anterior),4,652000,169.8666534423828,6,0,12.36950397491455,7.8214010777521175,27.62124711316397
ppo_visao_v1,2500000,referencia (treino anterior),5,1578500,307.5,13,0,11.214402318000793,6.175,23.858333333333334
ppo_visao_v1,2500000,referencia (treino anterior),6,2106000,307.5,11,0,10.404788255691528,8.833333333333334,34.2
ppo_visao_v1,2500000,referencia (treino anterior),7,397750,154.34165954589844,9,0,9.539249241352081,10.078311201906708,26.86414708886619
ppo_visao_v1,2500000,referencia (treino anterior),8,2293250,307.5,11,2,11.439270377159119,5.7,22.333333333333332
ppo_visao_v1,2500000,referencia (treino anterior),9,1884500,307.5,11,0,10.921884179115295,8.924999999999999,27.116666666666667
ppo_visao_v1,2500000,referencia (treino anterior),10,947750,183.91665649414062,8,0,10.185911655426025,9.749185206178263,26.101742950262153
