atraso,ep,score,duracao,rampas
0,0,475000,136.5,1
0,1,2631000,307.5,7
0,2,1428000,307.5,3
0,3,1451500,307.5,4
0,4,2238500,307.5,6
0,5,1575750,279.88330078125,4
0,6,588000,173.97500610351562,1
0,7,1644750,307.5,5
0,8,1529750,246.62498474121094,4
0,9,1673750,307.5,2
50,0,305750,119.60832977294922,1
50,1,432750,146.6166534423828,0
50,2,170500,80.7833251953125,0
50,3,602000,176.52499389648438,1
50,4,185250,84.0250015258789,0
50,5,335500,110.87499237060547,3
50,6,111750,70.20832824707031,0
50,7,248000,96.07499694824219,0
50,8,418500,170.96665954589844,1
50,9,876000,199.4499969482422,4
100,0,427750,160.39166259765625,0
100,1,157000,109.39166259765625,1
100,2,894000,182.54165649414062,2
100,3,274250,134.8583221435547,0
100,4,286500,149.1083221435547,2
100,5,387250,168.84165954589844,1
100,6,351500,125.09999084472656,1
100,7,204000,98.69999694824219,2
100,8,120500,70.61666107177734,1
100,9,378000,155.6083221435547,2
150,0,529750,203.25,0
150,1,111750,61.041664123535156,0
150,2,215750,99.41666412353516,0
150,3,178250,73.1583251953125,0
150,4,399250,116.29166412353516,1
150,5,220250,111.29166412353516,0
150,6,330750,143.3333282470703,0
150,7,136500,102.9083251953125,0
150,8,275500,102.44998931884766,0
150,9,783500,203.75,0
250,0,258750,108.16666412353516,1
250,1,189250,87.23332977294922,0
250,2,323000,115.59999084472656,0
250,3,173500,75.95832824707031,0
250,4,423000,147.7333221435547,0
250,5,250000,97.4083251953125,0
250,6,308250,113.9083251953125,0
250,7,252000,101.05000305175781,1
250,8,133500,60.58333206176758,0
250,9,143750,94.41666412353516,0
400,0,125750,71.49166107177734,0
400,1,155500,85.29166412353516,1
400,2,222000,101.86666107177734,1
400,3,336500,88.1833267211914,1
400,4,129000,76.1833267211914,0
400,5,251000,124.86666107177734,0
400,6,134250,95.94999694824219,0
400,7,697000,174.7833251953125,1
400,8,125750,77.5250015258789,2
400,9,187000,82.9083251953125,1
