fase,score,duracao
antes,139500,95.1583251953125
antes,389750,143.85000610351562
antes,237000,111.74166107177734
antes,1296500,199.4583282470703
antes,233750,129.50833129882812
antes,447750,152.9833221435547
antes,479250,216.91665649414062
antes,1189500,193.25833129882812
antes,1425000,307.5
antes,190750,91.51666259765625
antes,339750,175.9833221435547
antes,404750,159.3249969482422
antes,521500,227.44998168945312
antes,276000,123.34166717529297
antes,254500,147.80833435058594
antes,690500,126.02499389648438
antes,759750,286.95001220703125
antes,404000,131.29165649414062
antes,274500,113.31666564941406
antes,408250,151.9250030517578
antes,272250,121.5333251953125
antes,617500,236.26666259765625
antes,268000,106.02499389648438
antes,163250,92.76666259765625
antes,885250,282.9333190917969
antes,1064750,306.3666687011719
antes,560250,196.97500610351562
antes,883750,237.3333282470703
antes,489000,212.941650390625
antes,292000,122.27499389648438
antes,901250,267.0249938964844
antes,432250,182.8666534423828
antes,316750,175.13333129882812
antes,966000,167.66665649414062
antes,318750,165.8583221435547
antes,243250,110.09166717529297
antes,177250,98.07499694824219
antes,1263500,307.5
antes,163000,91.9749984741211
antes,370750,137.7083282470703
depois,1342750,224.1083221435547
depois,1651500,307.5
depois,671500,193.4083251953125
depois,861250,267.57501220703125
depois,965250,307.5
depois,645500,232.316650390625
depois,813250,307.5
depois,1112250,306.5249938964844
depois,1452000,307.5
depois,1771750,307.5
depois,3742250,307.5
depois,708250,222.6083221435547
depois,586250,241.1499786376953
depois,864000,228.566650390625
depois,1333500,306.8500061035156
depois,543750,150.89166259765625
depois,1845500,306.8583068847656
depois,307250,124.79166412353516
depois,716000,174.01666259765625
depois,1360250,307.5
depois,1683500,307.5
depois,2010500,307.5
depois,777750,264.8583068847656
depois,968500,223.816650390625
depois,2358750,307.5
depois,570500,165.26666259765625
depois,607250,214.066650390625
depois,144250,94.0999984741211
depois,225750,108.64166259765625
depois,1011750,274.33331298828125
depois,652000,240.5249786376953
depois,590500,160.21665954589844
depois,967000,246.91665649414062
depois,1907500,307.5
depois,2021750,306.8583068847656
depois,683500,206.99998474121094
depois,455500,126.24166107177734
depois,1108500,307.5
depois,595250,166.59165954589844
depois,1648250,307.5
