fase,score,duracao
antes,139500,95.1583251953125
antes,389750,143.85000610351562
antes,237000,111.74166107177734
antes,1296500,199.4583282470703
antes,233750,129.50833129882812
antes,447750,152.9833221435547
antes,479250,216.91665649414062
antes,1189500,193.25833129882812
antes,1425000,307.5
antes,190750,91.51666259765625
antes,339750,175.9833221435547
antes,404750,159.3249969482422
antes,521500,227.44998168945312
antes,276000,123.34166717529297
antes,254500,147.80833435058594
antes,690500,126.02499389648438
antes,759750,286.95001220703125
antes,404000,131.29165649414062
antes,274500,113.31666564941406
antes,408250,151.9250030517578
antes,272250,121.5333251953125
antes,617500,236.26666259765625
antes,268000,106.02499389648438
antes,163250,92.76666259765625
antes,885250,282.9333190917969
antes,1064750,306.3666687011719
antes,560250,196.97500610351562
antes,883750,237.3333282470703
antes,489000,212.941650390625
antes,292000,122.27499389648438
antes,901250,267.0249938964844
antes,432250,182.8666534423828
antes,316750,175.13333129882812
antes,966000,167.66665649414062
antes,318750,165.8583221435547
antes,243250,110.09166717529297
antes,177250,98.07499694824219
antes,1263500,307.5
antes,163000,91.9749984741211
antes,370750,137.7083282470703
depois,738750,211.3583221435547
depois,560750,178.9833221435547
depois,1518750,306.8416442871094
depois,754500,224.82498168945312
depois,2009500,307.5
depois,1458500,266.1583251953125
depois,1346750,173.13333129882812
depois,678750,198.18333435058594
depois,1653000,307.5
depois,2181000,307.5
depois,2729750,307.5
depois,1654000,272.6000061035156
depois,346750,156.29165649414062
depois,398750,122.91666412353516
depois,2122500,307.5
depois,673000,187.68333435058594
depois,1008250,276.82501220703125
depois,1212750,237.316650390625
depois,1086750,146.4833221435547
depois,1120750,307.5
depois,695250,219.4083251953125
depois,1342500,241.1499786376953
depois,569000,220.37498474121094
depois,1226250,307.5
depois,2572500,307.5
depois,737000,172.25833129882812
depois,461500,149.43333435058594
depois,941250,161.13333129882812
depois,259750,115.79166412353516
depois,2834500,307.5
depois,548750,160.4916534423828
depois,1121500,230.22499084472656
depois,2258750,307.5
depois,1420750,296.6666564941406
depois,2115250,307.5
depois,817750,233.1083221435547
depois,2555000,307.5
depois,693000,197.3333282470703
depois,1683500,306.8500061035156
depois,2189000,307.5
