fase,score,duracao
antes,139500,95.1583251953125
antes,389750,143.85000610351562
antes,237000,111.74166107177734
antes,1296500,199.4583282470703
antes,233750,129.50833129882812
antes,447750,152.9833221435547
antes,479250,216.91665649414062
antes,1189500,193.25833129882812
antes,1425000,307.5
antes,190750,91.51666259765625
antes,339750,175.9833221435547
antes,404750,159.3249969482422
antes,521500,227.44998168945312
antes,276000,123.34166717529297
antes,254500,147.80833435058594
antes,690500,126.02499389648438
antes,759750,286.95001220703125
antes,404000,131.29165649414062
antes,274500,113.31666564941406
antes,408250,151.9250030517578
antes,272250,121.5333251953125
antes,617500,236.26666259765625
antes,268000,106.02499389648438
antes,163250,92.76666259765625
antes,885250,282.9333190917969
antes,1064750,306.3666687011719
antes,560250,196.97500610351562
antes,883750,237.3333282470703
antes,489000,212.941650390625
antes,292000,122.27499389648438
antes,901250,267.0249938964844
antes,432250,182.8666534423828
antes,316750,175.13333129882812
antes,966000,167.66665649414062
antes,318750,165.8583221435547
antes,243250,110.09166717529297
antes,177250,98.07499694824219
antes,1263500,307.5
antes,163000,91.9749984741211
antes,370750,137.7083282470703
depois,180250,88.0
depois,267250,137.93333435058594
depois,138750,74.67500305175781
depois,134250,78.81666564941406
depois,228500,147.96665954589844
depois,104250,75.25833129882812
depois,10250,307.5
depois,111250,307.5
depois,146000,103.51666259765625
depois,41000,307.5
depois,295500,137.0
depois,176750,109.0583267211914
depois,21000,307.5
depois,135000,88.9083251953125
depois,134000,75.94166564941406
depois,188000,99.5
depois,149000,86.1500015258789
depois,192500,307.5
depois,158000,73.2249984741211
depois,161250,86.6833267211914
depois,141250,84.19999694824219
depois,174750,307.5
depois,96250,71.20832824707031
depois,88250,307.5
depois,184750,307.5
depois,210500,307.5
depois,388000,136.2333221435547
depois,200000,77.875
depois,114000,65.36666107177734
depois,152250,85.59166717529297
depois,201000,307.5
depois,98750,307.5
depois,109500,81.25
depois,97250,306.8666687011719
depois,263250,147.41665649414062
depois,249500,132.00833129882812
depois,192750,115.92499542236328
depois,274750,99.41666412353516
depois,95000,59.358333587646484
depois,277000,120.50833129882812
